Area|Sources of personal income|Ethnic group|Value|Flags
"Fairy Springs"|"Invalids benefit"|"Total people, ethnic group"|39|
"Fairy Springs"|"Student allowance"|"Total people, ethnic group"|30|
"Fairy Springs"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|66|
"Fairy Springs"|"Other sources of income"|"Total people, ethnic group"|21|
"Fairy Springs"|"No source of income during that time"|"Total people, ethnic group"|90|
"Fairy Springs"|"Total people stated"|"Total people, ethnic group"|1308|
"Fairy Springs"|"Not stated"|"Total people, ethnic group"|186|
"Pukehangi North"|"Total people, sources of personal income"|"Total people, ethnic group"|1452|
"Pukehangi North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|726|
"Pukehangi North"|"Self-employment or business"|"Total people, ethnic group"|57|
"Pukehangi North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|75|
"Pukehangi North"|"Payments from a work accident insurer"|"Total people, ethnic group"|21|
"Pukehangi North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|141|
"Pukehangi North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Pukehangi North"|"Unemployment benefit"|"Total people, ethnic group"|84|
"Pukehangi North"|"Sickness benefit"|"Total people, ethnic group"|51|
"Pukehangi North"|"Domestic purposes benefit"|"Total people, ethnic group"|162|
"Pukehangi North"|"Invalids benefit"|"Total people, ethnic group"|63|
"Pukehangi North"|"Student allowance"|"Total people, ethnic group"|33|
"Pukehangi North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|87|
"Pukehangi North"|"Other sources of income"|"Total people, ethnic group"|21|
"Pukehangi North"|"No source of income during that time"|"Total people, ethnic group"|120|
"Pukehangi North"|"Total people stated"|"Total people, ethnic group"|1302|
"Pukehangi North"|"Not stated"|"Total people, ethnic group"|150|
"Pukehangi South"|"Total people, sources of personal income"|"Total people, ethnic group"|2142|
"Pukehangi South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1161|
"Pukehangi South"|"Self-employment or business"|"Total people, ethnic group"|222|
"Pukehangi South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|360|
"Pukehangi South"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Pukehangi South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|369|
"Pukehangi South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|63|
"Pukehangi South"|"Unemployment benefit"|"Total people, ethnic group"|48|
"Pukehangi South"|"Sickness benefit"|"Total people, ethnic group"|39|
"Pukehangi South"|"Domestic purposes benefit"|"Total people, ethnic group"|96|
"Pukehangi South"|"Invalids benefit"|"Total people, ethnic group"|54|
"Pukehangi South"|"Student allowance"|"Total people, ethnic group"|39|
"Pukehangi South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|108|
"Pukehangi South"|"Other sources of income"|"Total people, ethnic group"|36|
"Pukehangi South"|"No source of income during that time"|"Total people, ethnic group"|126|
"Pukehangi South"|"Total people stated"|"Total people, ethnic group"|1986|
"Pukehangi South"|"Not stated"|"Total people, ethnic group"|159|
"Mangakakahi"|"Total people, sources of personal income"|"Total people, ethnic group"|1752|
"Mangakakahi"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|909|
"Mangakakahi"|"Self-employment or business"|"Total people, ethnic group"|120|
"Mangakakahi"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|117|
"Mangakakahi"|"Payments from a work accident insurer"|"Total people, ethnic group"|24|
"Mangakakahi"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|195|
"Mangakakahi"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|30|
"Mangakakahi"|"Unemployment benefit"|"Total people, ethnic group"|111|
"Mangakakahi"|"Sickness benefit"|"Total people, ethnic group"|48|
"Mangakakahi"|"Domestic purposes benefit"|"Total people, ethnic group"|123|
"Mangakakahi"|"Invalids benefit"|"Total people, ethnic group"|30|
"Mangakakahi"|"Student allowance"|"Total people, ethnic group"|45|
"Mangakakahi"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|99|
"Mangakakahi"|"Other sources of income"|"Total people, ethnic group"|42|
"Mangakakahi"|"No source of income during that time"|"Total people, ethnic group"|123|
"Mangakakahi"|"Total people stated"|"Total people, ethnic group"|1539|
"Mangakakahi"|"Not stated"|"Total people, ethnic group"|213|
"Sunnybrook"|"Total people, sources of personal income"|"Total people, ethnic group"|1422|
"Sunnybrook"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|837|
"Sunnybrook"|"Self-employment or business"|"Total people, ethnic group"|153|
"Sunnybrook"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|240|
"Sunnybrook"|"Payments from a work accident insurer"|"Total people, ethnic group"|18|
"Sunnybrook"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|216|
"Sunnybrook"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|27|
"Sunnybrook"|"Unemployment benefit"|"Total people, ethnic group"|45|
"Sunnybrook"|"Sickness benefit"|"Total people, ethnic group"|42|
"Sunnybrook"|"Domestic purposes benefit"|"Total people, ethnic group"|60|
"Sunnybrook"|"Invalids benefit"|"Total people, ethnic group"|30|
"Sunnybrook"|"Student allowance"|"Total people, ethnic group"|30|
"Sunnybrook"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|75|
"Sunnybrook"|"Other sources of income"|"Total people, ethnic group"|24|
"Sunnybrook"|"No source of income during that time"|"Total people, ethnic group"|90|
"Sunnybrook"|"Total people stated"|"Total people, ethnic group"|1341|
"Sunnybrook"|"Not stated"|"Total people, ethnic group"|81|
"Fordlands"|"Total people, sources of personal income"|"Total people, ethnic group"|1161|
"Fordlands"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|417|
"Fordlands"|"Self-employment or business"|"Total people, ethnic group"|12|
"Fordlands"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|18|
"Fordlands"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Fordlands"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|87|
"Fordlands"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|15|
"Fordlands"|"Unemployment benefit"|"Total people, ethnic group"|120|
"Fordlands"|"Sickness benefit"|"Total people, ethnic group"|57|
"Fordlands"|"Domestic purposes benefit"|"Total people, ethnic group"|156|
"Fordlands"|"Invalids benefit"|"Total people, ethnic group"|39|
"Fordlands"|"Student allowance"|"Total people, ethnic group"|63|
"Fordlands"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|51|
"Fordlands"|"Other sources of income"|"Total people, ethnic group"|12|
"Fordlands"|"No source of income during that time"|"Total people, ethnic group"|108|
"Fordlands"|"Total people stated"|"Total people, ethnic group"|984|
"Fordlands"|"Not stated"|"Total people, ethnic group"|177|
"Utuhina"|"Total people, sources of personal income"|"Total people, ethnic group"|1032|
"Utuhina"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|534|
"Utuhina"|"Self-employment or business"|"Total people, ethnic group"|78|
"Utuhina"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|117|
"Utuhina"|"Payments from a work accident insurer"|"Total people, ethnic group"|6|
"Utuhina"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|174|
"Utuhina"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|27|
"Utuhina"|"Unemployment benefit"|"Total people, ethnic group"|48|
"Utuhina"|"Sickness benefit"|"Total people, ethnic group"|33|
"Utuhina"|"Domestic purposes benefit"|"Total people, ethnic group"|63|
"Utuhina"|"Invalids benefit"|"Total people, ethnic group"|18|
"Utuhina"|"Student allowance"|"Total people, ethnic group"|24|
"Utuhina"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|51|
"Utuhina"|"Other sources of income"|"Total people, ethnic group"|21|
"Utuhina"|"No source of income during that time"|"Total people, ethnic group"|84|
"Utuhina"|"Total people stated"|"Total people, ethnic group"|948|
"Utuhina"|"Not stated"|"Total people, ethnic group"|84|
"Pomare"|"Total people, sources of personal income"|"Total people, ethnic group"|1215|
"Pomare"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|732|
"Pomare"|"Self-employment or business"|"Total people, ethnic group"|168|
"Pomare"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|300|
"Pomare"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Pomare"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|219|
"Pomare"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|36|
"Pomare"|"Unemployment benefit"|"Total people, ethnic group"|15|
"Pomare"|"Sickness benefit"|"Total people, ethnic group"|18|
"Pomare"|"Domestic purposes benefit"|"Total people, ethnic group"|30|
"Pomare"|"Invalids benefit"|"Total people, ethnic group"|18|
"Pomare"|"Student allowance"|"Total people, ethnic group"|27|
"Pomare"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|51|
"Pomare"|"Other sources of income"|"Total people, ethnic group"|18|
"Pomare"|"No source of income during that time"|"Total people, ethnic group"|66|
"Pomare"|"Total people stated"|"Total people, ethnic group"|1152|
"Pomare"|"Not stated"|"Total people, ethnic group"|63|
"Hillcrest"|"Total people, sources of personal income"|"Total people, ethnic group"|1107|
"Hillcrest"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|624|
"Hillcrest"|"Self-employment or business"|"Total people, ethnic group"|96|
"Hillcrest"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|129|
"Hillcrest"|"Payments from a work accident insurer"|"Total people, ethnic group"|12|
"Hillcrest"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|123|
"Hillcrest"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|18|
"Hillcrest"|"Unemployment benefit"|"Total people, ethnic group"|45|
"Hillcrest"|"Sickness benefit"|"Total people, ethnic group"|39|
"Hillcrest"|"Domestic purposes benefit"|"Total people, ethnic group"|48|
"Hillcrest"|"Invalids benefit"|"Total people, ethnic group"|30|
"Hillcrest"|"Student allowance"|"Total people, ethnic group"|33|
"Hillcrest"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|57|
"Hillcrest"|"Other sources of income"|"Total people, ethnic group"|15|
"Hillcrest"|"No source of income during that time"|"Total people, ethnic group"|90|
"Hillcrest"|"Total people stated"|"Total people, ethnic group"|1020|
"Hillcrest"|"Not stated"|"Total people, ethnic group"|87|
"Springfield"|"Total people, sources of personal income"|"Total people, ethnic group"|3336|
"Springfield"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1848|
"Springfield"|"Self-employment or business"|"Total people, ethnic group"|507|
"Springfield"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|879|
"Springfield"|"Payments from a work accident insurer"|"Total people, ethnic group"|33|
"Springfield"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|669|
"Springfield"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|120|
"Springfield"|"Unemployment benefit"|"Total people, ethnic group"|57|
"Springfield"|"Sickness benefit"|"Total people, ethnic group"|42|
"Springfield"|"Domestic purposes benefit"|"Total people, ethnic group"|66|
"Springfield"|"Invalids benefit"|"Total people, ethnic group"|36|
"Springfield"|"Student allowance"|"Total people, ethnic group"|54|
"Springfield"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|105|
"Springfield"|"Other sources of income"|"Total people, ethnic group"|54|
"Springfield"|"No source of income during that time"|"Total people, ethnic group"|177|
"Springfield"|"Total people stated"|"Total people, ethnic group"|3060|
"Springfield"|"Not stated"|"Total people, ethnic group"|276|
"Kawaha Point"|"Total people, sources of personal income"|"Total people, ethnic group"|1380|
"Kawaha Point"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|750|
"Kawaha Point"|"Self-employment or business"|"Total people, ethnic group"|183|
"Kawaha Point"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|270|
"Kawaha Point"|"Payments from a work accident insurer"|"Total people, ethnic group"|18|
"Kawaha Point"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|222|
"Kawaha Point"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|30|
"Kawaha Point"|"Unemployment benefit"|"Total people, ethnic group"|42|
"Kawaha Point"|"Sickness benefit"|"Total people, ethnic group"|30|
"Kawaha Point"|"Domestic purposes benefit"|"Total people, ethnic group"|48|
"Kawaha Point"|"Invalids benefit"|"Total people, ethnic group"|24|
"Kawaha Point"|"Student allowance"|"Total people, ethnic group"|24|
"Kawaha Point"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|63|
"Kawaha Point"|"Other sources of income"|"Total people, ethnic group"|21|
"Kawaha Point"|"No source of income during that time"|"Total people, ethnic group"|93|
"Kawaha Point"|"Total people stated"|"Total people, ethnic group"|1275|
"Kawaha Point"|"Not stated"|"Total people, ethnic group"|105|
"Koutu"|"Total people, sources of personal income"|"Total people, ethnic group"|1335|
"Koutu"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|639|
"Koutu"|"Self-employment or business"|"Total people, ethnic group"|81|
"Koutu"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|111|
