Area|Age group|Occupied dwelling type|Value|Flags
"West Coast Region"|"10-14 Years"|"Marae complex"||c
"West Coast Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"||c
"West Coast Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Canterbury Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|33441|
"Canterbury Region"|"10-14 Years"|"Separate house no storey information"|45|
"Canterbury Region"|"10-14 Years"|"Separate house with one storey"|23448|
"Canterbury Region"|"10-14 Years"|"Separate house with two or more storeys"|6651|
"Canterbury Region"|"10-14 Years"|"Total usual residents in separate houses"|30147|
"Canterbury Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|15|
"Canterbury Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|1203|
"Canterbury Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|663|
"Canterbury Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|3|
"Canterbury Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|1884|
"Canterbury Region"|"10-14 Years"|"Dwelling in a motor camp"|27|
"Canterbury Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|51|
"Canterbury Region"|"10-14 Years"|"Improvised dwelling or shelter"|45|
"Canterbury Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Canterbury Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|120|
"Canterbury Region"|"10-14 Years"|"Occupied private dwelling not further defined"|1128|
"Canterbury Region"|"10-14 Years"|"Residential care for older people"|0|
"Canterbury Region"|"10-14 Years"|"Public hospital"|3|
"Canterbury Region"|"10-14 Years"|"Private hospital"|6|
"Canterbury Region"|"10-14 Years"|"Residential and community care facilities"|3|
"Canterbury Region"|"10-14 Years"|"Welfare institution"|15|
"Canterbury Region"|"10-14 Years"|"Educational institution"|75|
"Canterbury Region"|"10-14 Years"|"Religious institution"|0|
"Canterbury Region"|"10-14 Years"|"Prison or penal institution"|0|
"Canterbury Region"|"10-14 Years"|"Defence establishment"|0|
"Canterbury Region"|"10-14 Years"|"Night shelter"|3|
"Canterbury Region"|"10-14 Years"|"Total usual residents in institutions"|105|
"Canterbury Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|21|
"Canterbury Region"|"10-14 Years"|"Boarding house"|0|
"Canterbury Region"|"10-14 Years"|"Moto camp/camping ground"|6|
"Canterbury Region"|"10-14 Years"|"Work, construction, or training camp"|0|
"Canterbury Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|27|
"Canterbury Region"|"10-14 Years"|"Communal staff quarters"|0|
"Canterbury Region"|"10-14 Years"|"Commercial vessel"|0|
"Canterbury Region"|"10-14 Years"|"Marae complex"|0|
"Canterbury Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|57|
"Canterbury Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"|0|
"Otago Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|11664|
"Otago Region"|"10-14 Years"|"Separate house no storey information"|36|
"Otago Region"|"10-14 Years"|"Separate house with one storey"|7578|
"Otago Region"|"10-14 Years"|"Separate house with two or more storeys"|3075|
"Otago Region"|"10-14 Years"|"Total usual residents in separate houses"|10692|
"Otago Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Otago Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|186|
"Otago Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|207|
"Otago Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|12|
"Otago Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|408|
"Otago Region"|"10-14 Years"|"Dwelling in a motor camp"|6|
"Otago Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|12|
"Otago Region"|"10-14 Years"|"Improvised dwelling or shelter"|3|
"Otago Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Otago Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|21|
"Otago Region"|"10-14 Years"|"Occupied private dwelling not further defined"|432|
"Otago Region"|"10-14 Years"|"Residential care for older people"|0|
"Otago Region"|"10-14 Years"|"Public hospital"|3|
"Otago Region"|"10-14 Years"|"Private hospital"|0|
"Otago Region"|"10-14 Years"|"Residential and community care facilities"|6|
"Otago Region"|"10-14 Years"|"Welfare institution"|3|
"Otago Region"|"10-14 Years"|"Educational institution"|66|
"Otago Region"|"10-14 Years"|"Religious institution"|0|
"Otago Region"|"10-14 Years"|"Prison or penal institution"|3|
"Otago Region"|"10-14 Years"|"Defence establishment"|0|
"Otago Region"|"10-14 Years"|"Night shelter"|0|
"Otago Region"|"10-14 Years"|"Total usual residents in institutions"|72|
"Otago Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"|21|
"Otago Region"|"10-14 Years"|"Boarding house"|6|
"Otago Region"|"10-14 Years"|"Moto camp/camping ground"|6|
"Otago Region"|"10-14 Years"|"Work, construction, or training camp"|0|
"Otago Region"|"10-14 Years"|"Youth, school, or scout/guide camp"|0|
"Otago Region"|"10-14 Years"|"Communal staff quarters"|0|
"Otago Region"|"10-14 Years"|"Commercial vessel"|0|
"Otago Region"|"10-14 Years"|"Marae complex"|0|
"Otago Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|33|
"Otago Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"|3|
"Southland Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|6261|
"Southland Region"|"10-14 Years"|"Separate house no storey information"|12|
"Southland Region"|"10-14 Years"|"Separate house with one storey"|5100|
"Southland Region"|"10-14 Years"|"Separate house with two or more storeys"|771|
"Southland Region"|"10-14 Years"|"Total usual residents in separate houses"|5880|
"Southland Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Southland Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|84|
"Southland Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|30|
"Southland Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Southland Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|120|
"Southland Region"|"10-14 Years"|"Dwelling in a motor camp"|3|
"Southland Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"|3|
"Southland Region"|"10-14 Years"|"Improvised dwelling or shelter"|3|
"Southland Region"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Southland Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|12|
"Southland Region"|"10-14 Years"|"Occupied private dwelling not further defined"|237|
"Southland Region"|"10-14 Years"|"Residential care for older people"||c
"Southland Region"|"10-14 Years"|"Public hospital"||c
"Southland Region"|"10-14 Years"|"Private hospital"||c
"Southland Region"|"10-14 Years"|"Residential and community care facilities"||c
"Southland Region"|"10-14 Years"|"Welfare institution"||c
"Southland Region"|"10-14 Years"|"Educational institution"||c
"Southland Region"|"10-14 Years"|"Religious institution"||c
"Southland Region"|"10-14 Years"|"Prison or penal institution"||c
"Southland Region"|"10-14 Years"|"Defence establishment"||c
"Southland Region"|"10-14 Years"|"Night shelter"||c
"Southland Region"|"10-14 Years"|"Total usual residents in institutions"||c
"Southland Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Southland Region"|"10-14 Years"|"Boarding house"||c
"Southland Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Southland Region"|"10-14 Years"|"Work, construction, or training camp"||c
"Southland Region"|"10-14 Years"|"Youth, school, or scout/guide camp"||c
"Southland Region"|"10-14 Years"|"Communal staff quarters"||c
"Southland Region"|"10-14 Years"|"Commercial vessel"||c
"Southland Region"|"10-14 Years"|"Marae complex"||c
"Southland Region"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|9|
"Southland Region"|"10-14 Years"|"Occupied non-private dwelling not further defined"||c
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in occupied dwellings"|285975|
"Total, Regional Council Areas"|"10-14 Years"|"Separate house no storey information"|978|
"Total, Regional Council Areas"|"10-14 Years"|"Separate house with one storey"|178002|
"Total, Regional Council Areas"|"10-14 Years"|"Separate house with two or more storeys"|69870|
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in separate houses"|248847|
"Total, Regional Council Areas"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|210|
"Total, Regional Council Areas"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|10302|
"Total, Regional Council Areas"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|9342|
"Total, Regional Council Areas"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|663|
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|20520|
"Total, Regional Council Areas"|"10-14 Years"|"Dwelling in a motor camp"|159|
"Total, Regional Council Areas"|"10-14 Years"|"Mobile dwelling not in a motor camp"|363|
"Total, Regional Council Areas"|"10-14 Years"|"Improvised dwelling or shelter"|234|
"Total, Regional Council Areas"|"10-14 Years"|"Roofless or rough sleeper"|0|
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in other occupied private dwellings"|753|
"Total, Regional Council Areas"|"10-14 Years"|"Occupied private dwelling not further defined"|14241|
"Total, Regional Council Areas"|"10-14 Years"|"Residential care for older people"|3|
"Total, Regional Council Areas"|"10-14 Years"|"Public hospital"|15|
"Total, Regional Council Areas"|"10-14 Years"|"Private hospital"|9|
"Total, Regional Council Areas"|"10-14 Years"|"Residential and community care facilities"|54|
"Total, Regional Council Areas"|"10-14 Years"|"Welfare institution"|36|
"Total, Regional Council Areas"|"10-14 Years"|"Educational institution"|981|
"Total, Regional Council Areas"|"10-14 Years"|"Religious institution"|75|
"Total, Regional Council Areas"|"10-14 Years"|"Prison or penal institution"|15|
"Total, Regional Council Areas"|"10-14 Years"|"Defence establishment"|0|
"Total, Regional Council Areas"|"10-14 Years"|"Night shelter"|0|
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in institutions"|1185|
"Total, Regional Council Areas"|"10-14 Years"|"Hotel, motel, or guest accommodation"|222|
"Total, Regional Council Areas"|"10-14 Years"|"Boarding house"|63|
"Total, Regional Council Areas"|"10-14 Years"|"Moto camp/camping ground"|39|
"Total, Regional Council Areas"|"10-14 Years"|"Work, construction, or training camp"|6|
"Total, Regional Council Areas"|"10-14 Years"|"Youth, school, or scout/guide camp"|75|
"Total, Regional Council Areas"|"10-14 Years"|"Communal staff quarters"|15|
"Total, Regional Council Areas"|"10-14 Years"|"Commercial vessel"|0|
"Total, Regional Council Areas"|"10-14 Years"|"Marae complex"|3|
"Total, Regional Council Areas"|"10-14 Years"|"Total usual residents in other occupied non-private dwellings"|423|
"Total, Regional Council Areas"|"10-14 Years"|"Occupied non-private dwelling not further defined"|9|
"Area Outside Region"|"10-14 Years"|"Total usual residents in occupied dwellings"|27|
"Area Outside Region"|"10-14 Years"|"Separate house no storey information"||c
"Area Outside Region"|"10-14 Years"|"Separate house with one storey"|24|
"Area Outside Region"|"10-14 Years"|"Separate house with two or more storeys"||c
"Area Outside Region"|"10-14 Years"|"Total usual residents in separate houses"|24|
"Area Outside Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"||c
"Area Outside Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"||c
"Area Outside Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"||c
"Area Outside Region"|"10-14 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"||c
"Area Outside Region"|"10-14 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"||c
"Area Outside Region"|"10-14 Years"|"Dwelling in a motor camp"||c
"Area Outside Region"|"10-14 Years"|"Mobile dwelling not in a motor camp"||c
"Area Outside Region"|"10-14 Years"|"Improvised dwelling or shelter"||c
"Area Outside Region"|"10-14 Years"|"Roofless or rough sleeper"||c
"Area Outside Region"|"10-14 Years"|"Total usual residents in other occupied private dwellings"||c
"Area Outside Region"|"10-14 Years"|"Occupied private dwelling not further defined"||c
"Area Outside Region"|"10-14 Years"|"Residential care for older people"||c
"Area Outside Region"|"10-14 Years"|"Public hospital"||c
"Area Outside Region"|"10-14 Years"|"Private hospital"||c
"Area Outside Region"|"10-14 Years"|"Residential and community care facilities"||c
"Area Outside Region"|"10-14 Years"|"Welfare institution"||c
"Area Outside Region"|"10-14 Years"|"Educational institution"||c
"Area Outside Region"|"10-14 Years"|"Religious institution"||c
"Area Outside Region"|"10-14 Years"|"Prison or penal institution"||c
"Area Outside Region"|"10-14 Years"|"Defence establishment"||c
"Area Outside Region"|"10-14 Years"|"Night shelter"||c
"Area Outside Region"|"10-14 Years"|"Total usual residents in institutions"||c
"Area Outside Region"|"10-14 Years"|"Hotel, motel, or guest accommodation"||c
"Area Outside Region"|"10-14 Years"|"Boarding house"||c
"Area Outside Region"|"10-14 Years"|"Moto camp/camping ground"||c
"Area Outside Region"|"10-14 Years"|"Work, construction, or training camp"||c
